***SESSION HEADER***
{
  "Participant": "S22",
  "Timestamp": "16-00-34-19-02-2019"
}
---SESSION HEADER---
Timestamp;Trial;Round;Training;Phase;PhaseLenght;Stimulus;FearObject;BigObject;RealDistance;EstimatedDistance;HeadsetPosition;HeadsetRotation;ControllerPosition;ControllerRotation;EstimatedPosition;TruePosition;
610.4631;1;0;False;AfterFade;1.005;Pidgeon;False;False;3.9642;0.0000;(-0.0052, 1.1298, -7.1369);(0.0373, 0.0540, -0.0350, 0.9972);(0.1322, 0.8254, -6.8624);(-0.2282, 0.0148, -0.2032, 0.9521);(-1.0162, 0.0000, -2.4876);(0.2467, 0.0000, 3.9565);
613.2552;1;0;False;Estimation;2.792;Pidgeon;False;False;3.9642;3.9706;(-0.0009, 1.1181, -7.1284);(0.0971, 0.0759, -0.0343, 0.9918);(0.1276, 0.7214, -6.8371);(0.0176, 0.0446, -0.2851, 0.9573);(0.4189, 0.0000, -3.0515);(0.2467, 0.0000, 3.9565);
614.9977;2;0;False;Focus;1.742;empty;empty;empty;7.0000;0.0000;(-0.0025, 1.1220, -7.1292);(0.0758, 0.0467, -0.0381, 0.9953);(0.1339, 0.7619, -6.8452);(-0.0947, 0.0674, -0.2762, 0.9540);(0.4189, 0.0000, -3.0515);(0.0000, 0.0000, -7.0000);
615.0089;2;0;False;BeforeFade;0.011;Chicken;False;False;2.8061;0.0000;(-0.0026, 1.1220, -7.1291);(0.0762, 0.0466, -0.0379, 0.9953);(0.1337, 0.7617, -6.8452);(-0.0948, 0.0670, -0.2764, 0.9540);(0.4189, 0.0000, -3.0515);(-0.7151, 0.0000, 2.7134);
615.1094;2;0;False;Stimuli;0.101;Chicken;False;False;2.8061;0.0000;(-0.0034, 1.1217, -7.1287);(0.0771, 0.0469, -0.0374, 0.9952);(0.1335, 0.7607, -6.8451);(-0.0932, 0.0666, -0.2767, 0.9541);(0.4189, 0.0000, -3.0515);(-0.7151, 0.0000, 2.7134);
616.1147;2;0;False;AfterFade;1.005;Chicken;False;False;2.8061;0.0000;(-0.0058, 1.1201, -7.1263);(0.0835, 0.0427, -0.0316, 0.9951);(0.1188, 0.7679, -6.8508);(-0.0931, 0.0423, -0.2775, 0.9553);(0.4189, 0.0000, -3.0515);(-0.7151, 0.0000, 2.7134);
618.5495;2;0;False;Estimation;2.435;Chicken;False;False;2.8061;2.8022;(-0.0118, 1.1131, -7.1227);(0.1209, 0.0343, -0.0192, 0.9919);(0.0231, 0.7224, -6.8752);(0.1301, -0.0893, -0.3791, 0.9118);(-0.6855, 0.0000, -4.2830);(-0.7151, 0.0000, 2.7134);
620.3480;3;0;False;Focus;1.798;empty;empty;empty;7.0000;0.0000;(-0.0141, 1.1128, -7.1242);(0.1277, 0.0353, -0.0177, 0.9910);(0.0227, 0.7252, -6.8763);(0.1230, -0.0894, -0.3835, 0.9109);(-0.6855, 0.0000, -4.2830);(0.0000, 0.0000, -7.0000);
620.3588;3;0;False;BeforeFade;0.011;Squirell;False;False;3.5819;0.0000;(-0.0142, 1.1128, -7.1242);(0.1278, 0.0353, -0.0177, 0.9910);(0.0227, 0.7251, -6.8763);(0.1231, -0.0895, -0.3833, 0.9110);(-0.6855, 0.0000, -4.2830);(0.8796, 0.0000, 3.4722);
620.4596;3;0;False;Stimuli;0.101;Squirell;False;False;3.5819;0.0000;(-0.0136, 1.1123, -7.1235);(0.1289, 0.0350, -0.0179, 0.9909);(0.0222, 0.7247, -6.8766);(0.1235, -0.0898, -0.3831, 0.9110);(-0.6855, 0.0000, -4.2830);(0.8796, 0.0000, 3.4722);
621.4650;3;0;False;AfterFade;1.005;Squirell;False;False;3.5819;0.0000;(-0.0080, 1.1138, -7.1265);(0.1235, 0.0555, -0.0255, 0.9905);(0.0416, 0.7362, -6.8703);(0.0823, -0.0636, -0.3600, 0.9271);(-0.6855, 0.0000, -4.2830);(0.8796, 0.0000, 3.4722);
623.5422;3;0;False;Estimation;2.077;Squirell;False;False;3.5819;3.6489;(0.0047, 1.1117, -7.1203);(0.1260, 0.0826, -0.0394, 0.9878);(0.1759, 0.7290, -6.8241);(0.0139, 0.1015, -0.3319, 0.9377);(0.8078, 0.0000, -3.4417);(0.8796, 0.0000, 3.4722);
625.4189;4;0;False;Focus;1.877;empty;empty;empty;7.0000;0.0000;(-0.0005, 1.1168, -7.1244);(0.1056, 0.0666, -0.0362, 0.9915);(0.1088, 0.7675, -6.8553);(-0.0463, 0.0159, -0.2878, 0.9564);(0.8078, 0.0000, -3.4417);(0.0000, 0.0000, -7.0000);
625.4296;4;0;False;BeforeFade;0.011;Goat;False;False;1.7126;0.0000;(-0.0004, 1.1168, -7.1244);(0.1054, 0.0664, -0.0360, 0.9916);(0.1089, 0.7675, -6.8554);(-0.0462, 0.0162, -0.2879, 0.9564);(0.8078, 0.0000, -3.4417);(-0.0601, 0.0000, 1.7115);
625.5304;4;0;False;Stimuli;0.101;Goat;False;False;1.7126;0.0000;(-0.0004, 1.1169, -7.1242);(0.1047, 0.0662, -0.0352, 0.9917);(0.1095, 0.7686, -6.8564);(-0.0500, 0.0196, -0.2836, 0.9574);(0.8078, 0.0000, -3.4417);(-0.0601, 0.0000, 1.7115);
626.5354;4;0;False;AfterFade;1.005;Goat;False;False;1.7126;0.0000;(-0.0006, 1.1164, -7.1249);(0.1069, 0.0688, -0.0362, 0.9912);(0.0878, 0.7501, -6.8595);(0.0073, 0.0079, -0.3105, 0.9505);(0.8078, 0.0000, -3.4417);(-0.0601, 0.0000, 1.7115);
628.5682;4;0;False;Estimation;2.033;Goat;False;False;1.7126;2.1923;(-0.0057, 1.1190, -7.1246);(0.0962, 0.0642, -0.0334, 0.9927);(0.0742, 0.7028, -6.8623);(0.1286, 0.0292, -0.3580, 0.9243);(-0.0053, 0.0000, -4.8077);(-0.0601, 0.0000, 1.7115);
630.1768;5;0;False;Focus;1.608;empty;empty;empty;7.0000;0.0000;(-0.0024, 1.1196, -7.1233);(0.0860, 0.0626, -0.0370, 0.9936);(0.1089, 0.7320, -6.8444);(0.0514, 0.0539, -0.3548, 0.9320);(-0.0053, 0.0000, -4.8077);(0.0000, 0.0000, -7.0000);
