number	latency	duration	channel	bvtime	type	code	urevent
460.000000	346624.000000	0.000000			RP		4060.000000
461.000000	347384.000000	0.000000			RP		4061.000000
462.000000	348145.000000	0.000000			RP		4062.000000
463.000000	348885.500000	0.000000			RP		4063.000000
464.000000	349585.500000	0.000000			RP		4064.000000
465.000000	350385.500000	0.000000			RP		4065.000000
466.000000	351266.000000	0.000000			RP		4066.000000
467.000000	352106.500000	0.000000			RP		4067.000000
468.000000	352947.000000	0.000000			RP		4068.000000
469.000000	353767.000000	0.000000			RP		4069.000000
470.000000	354287.500000	0.000000			RP		4070.000000
471.000000	355328.000000	0.000000			RP		4071.000000
472.000000	356054.000000	0.000000			RP		4072.000000
473.000000	356929.000000	0.000000			RP		4073.000000
474.000000	357709.500000	0.000000			RP		4074.000000
475.000000	358489.500000	0.000000			RP		4075.000000
476.000000	359230.000000	0.000000			RP		4076.000000
477.000000	359830.000000	0.000000			RP		4077.000000
478.000000	360630.500000	0.000000			RP		4078.000000
479.000000	361331.500000	0.000000			RP		4079.000000
480.000000	362091.500000	0.000000			RP		4080.000000
481.000000	362831.500000	0.000000			RP		4081.000000
482.000000	363692.000000	0.000000			RP		4082.000000
483.000000	364632.500000	0.000000			RP		4083.000000
484.000000	365493.500000	0.000000			RP		4084.000000
485.000000	366353.500000	0.000000			RP		4085.000000
486.000000	367254.000000	0.000000			RP		4086.000000
487.000000	368174.500000	0.000000			RP		4087.000000
488.000000	369035.500000	0.000000			RP		4088.000000
489.000000	369895.500000	0.000000			RP		4089.000000
490.000000	370795.500000	0.000000			RP		4090.000000
491.000000	371656.000000	0.000000			RP		4091.000000
492.000000	372417.000000	0.000000			RP		4092.000000
493.000000	373277.500000	0.000000			RP		4093.000000
494.000000	374217.500000	0.000000			RP		4094.000000
495.000000	375138.500000	0.000000			RP		4095.000000
496.000000	376098.000000	0.000000			RP		4096.000000
497.000000	377039.000000	0.000000			RP		4097.000000
498.000000	377939.500000	0.000000			RP		4098.000000
499.000000	378839.500000	0.000000			RP		4099.000000
500.000000	379700.500000	0.000000			RP		4100.000000
501.000000	380501.500000	0.000000			RP		4101.000000
502.000000	381261.500000	0.000000			RP		4102.000000
503.000000	382062.000000	0.000000			RP		4103.000000
504.000000	382982.500000	0.000000			RP		4104.000000
505.000000	383883.500000	0.000000			RP		4105.000000
506.000000	384723.500000	0.000000			RP		4106.000000
507.000000	385623.500000	0.000000			RP		4107.000000
508.000000	386585.000000	0.000000			RP		4108.000000
509.000000	387585.500000	0.000000			RP		4109.000000
510.000000	388526.000000	0.000000			RP		4110.000000
511.000000	389446.500000	0.000000			RP		4111.000000
512.000000	390347.000000	0.000000			RP		4112.000000
513.000000	391147.500000	0.000000			RP		4113.000000
514.000000	391988.500000	0.000000			RP		4114.000000
515.000000	392909.000000	0.000000			RP		4115.000000
516.000000	393810.000000	0.000000			RP		4116.000000
517.000000	394730.500000	0.000000			RP		4117.000000
518.000000	395751.000000	0.000000			RP		4118.000000
519.000000	396752.000000	0.000000			RP		4119.000000
520.000000	397732.000000	0.000000			RP		4120.000000
521.000000	398632.500000	0.000000			RP		4121.000000
522.000000	399573.500000	0.000000			RP		4122.000000
523.000000	400533.500000	0.000000			RP		4123.000000
524.000000	401414.500000	0.000000			RP		4124.000000
525.000000	402314.500000	0.000000			RP		4125.000000
526.000000	403215.500000	0.000000			RP		4126.000000
527.000000	404216.000000	0.000000			RP		4127.000000
528.000000	405155.500000	0.000000			RP		4128.000000
529.000000	406016.500000	0.000000			RP		4129.000000
530.000000	406797.000000	0.000000			RP		4130.000000
531.000000	407637.500000	0.000000			RP		4131.000000
532.000000	408557.000000	0.000000			RP		4132.000000
533.000000	409498.000000	0.000000			RP		4133.000000
534.000000	410438.000000	0.000000			RP		4134.000000
535.000000	411318.500000	0.000000			RP		4135.000000
536.000000	412199.000000	0.000000			RP		4136.000000
537.000000	413039.000000	0.000000			RP		4137.000000
538.000000	413799.000000	0.000000			RP		4138.000000
539.000000	414459.500000	0.000000			RP		4139.000000
540.000000	415180.000000	0.000000			RP		4140.000000
541.000000	415979.500000	0.000000			RP		4141.000000
542.000000	416760.000000	0.000000			RP		4142.000000
543.000000	417620.000000	0.000000			RP		4143.000000
544.000000	418401.000000	0.000000			RP		4144.000000
545.000000	419201.000000	0.000000			RP		4145.000000
546.000000	420001.000000	0.000000			RP		4146.000000
547.000000	420761.000000	0.000000			RP		4147.000000
548.000000	421481.500000	0.000000			RP		4148.000000
549.000000	422201.500000	0.000000			RP		4149.000000
550.000000	422942.000000	0.000000			RP		4150.000000
551.000000	423682.000000	0.000000			RP		4151.000000
552.000000	424422.500000	0.000000			RP		4152.000000
553.000000	425263.000000	0.000000			RP		4153.000000
554.000000	426123.000000	0.000000			RP		4154.000000
555.000000	426983.500000	0.000000			RP		4155.000000
